Price,Year,Mileage,State,Make,Model
16200,2015,26981, IN,Buick,EncoreConvenience
16588,2015,21500, NC,Buick,EncoreFWD
16791,2015,25389, AZ,Buick,EncoreFWD
17283,2015,13444, TX,Buick,EncoreFWD
20300,2017,239, PA,Buick,EncoreFWD
14308,2014,39994, OH,Buick,EncoreConvenience
22846,2017,27351, WI,Buick,VeranoSport
18914,2016,8032, IN,Buick,EncoreFWD
16188,2015,19877, IN,Buick,EncoreFWD
17500,2015,19103, RI,Buick,EncoreAWD
14523,2014,44773, IN,Buick,EncoreConvenience
15988,2015,24020, CA,Buick,EncoreFWD
17935,2015,14622, NJ,Buick,EncoreFWD
16890,2016,16702, MD,Buick,EncoreFWD
18500,2015,3612, TX,Buick,EncoreConvenience
15999,2015,27410, GA,Buick,EncoreFWD
24995,2014,5478, NC,Buick,VeranoConvenience
17512,2015,10728, TX,Buick,EncoreAWD
18879,2017,23261, NV,Buick,EncoreFWD
16500,2015,21072, GA,Buick,EncoreFWD
18487,2016,7681, OR,Buick,EncoreFWD
18995,2016,2815, GA,Buick,EncoreFWD
15473,2015,43366, IN,Buick,EncoreFWD
16858,2015,23550, AZ,Buick,EncoreFWD
16995,2015,17116, AZ,Buick,EncoreFWD
17000,2015,29353, CA,Buick,EncoreFWD
16996,2015,21920, PA,Buick,EncoreFWD
18000,2015,8235, RI,Buick,EncoreAWD
16493,2014,10117, IL,Buick,EncoreConvenience
17990,2015,11558, IN,Buick,EncoreFWD
18000,2016,13807, AZ,Buick,EncoreFWD
18460,2016,6177, NC,Buick,EncoreFWD
18000,2015,7775, AL,Buick,EncoreFWD
16241,2015,26479, TX,Buick,EncoreFWD
17477,2015,11637, MS,Buick,EncoreFWD
15997,2015,29539, AZ,Buick,EncoreConvenience
16496,2015,29670, MO,Buick,EncoreFWD
16969,2015,16939, TX,Buick,EncoreFWD
17977,2016,14693, FL,Buick,EncoreFWD
14675,2015,43174, LA,Buick,EncoreConvenience
16988,2015,26718, FL,Buick,EncoreLeather
17691,2016,13366, IL,Buick,EncoreFWD
16995,2015,10635, NY,Buick,EncoreFWD
21995,2015,36912, NM,Buick,VeranoConvenience
13490,2014,41678, FL,Buick,EncoreFWD
17274,2015,14579, MO,Buick,EncoreConvenience
17904,2015,7012, TX,Buick,EncoreFWD
18901,2016,6634, MO,Buick,EncoreFWD
17500,2015,11972, MO,Buick,EncoreFWD
18300,2015,11941, TN,Buick,EncoreFWD
18640,2016,1737, FL,Buick,EncoreFWD
17649,2015,17524, NC,Buick,EncoreFWD
16987,2015,18936, TX,Buick,EncoreFWD
4977,2003,175975, TX,Buick,RendezvousCX
14500,2015,38441, NC,Buick,EncoreConvenience
18588,2016,7781, TX,Buick,EncoreFWD
17991,2016,15184, FL,Buick,EncoreFWD
17404,2015,17504, MO,Buick,EncoreAWD
18499,2017,7655, GA,Buick,EncoreFWD
16995,2015,27385, TX,Buick,EncoreConvenience
17785,2015,17453, NY,Buick,EncoreAWD
18684,2017,15298, KY,Buick,EncoreFWD
16950,2015,9172, GA,Buick,EncoreFWD
16500,2014,29404, GA,Buick,EncoreLeather
15991,2016,43864, MO,Buick,EncoreFWD
17494,2016,21192, SC,Buick,EncoreConvenience
14992,2014,36760, PA,Buick,EncoreConvenience
13687,2014,49851, MO,Buick,EncoreFWD
16991,2015,22787, TX,Buick,EncoreConvenience
15997,2015,22686, OH,Buick,EncoreConvenience
16000,2014,26810, OH,Buick,EncoreConvenience
16000,2014,15771, PA,Buick,EncoreConvenience
17880,2016,17238, NC,Buick,EncoreFWD
17384,2015,16851, NY,Buick,EncoreAWD
16711,2015,16895, IL,Buick,EncoreFWD
16980,2015,19353, SC,Buick,EncoreConvenience
18000,2016,15396, AZ,Buick,EncoreFWD
16294,2015,21230, IN,Buick,EncoreFWD
19900,2016,5, CA,Buick,EncoreConvenience
17676,2015,10795, MS,Buick,EncoreFWD
17853,2016,20050, SC,Buick,EncoreFWD
18495,2016,6481, IL,Buick,EncoreConvenience
15940,2014,22334, IL,Buick,EncoreConvenience
16525,2015,20325, IL,Buick,EncoreFWD
17500,2016,21000, OK,Buick,EncoreFWD
14980,2015,43461, OK,Buick,EncoreFWD
17200,2015,23389, PA,Buick,EncoreAWD
15990,2014,25889, NJ,Buick,EncoreConvenience
17000,2015,23977, OH,Buick,EncoreConvenience
18990,2017,2608, MA,Buick,EncoreFWD
15000,2015,33508, MD,Buick,EncoreFWD
15495,2014,24349, FL,Buick,EncoreConvenience
16995,2015,19384, SC,Buick,EncoreFWD
17499,2015,13317, OH,Buick,EncoreConvenience
14416,2014,53116, OK,Buick,EncoreLeather
19000,2016,3879, KY,Buick,EncoreConvenience
13324,2014,68719, CA,Buick,EncoreFWD
15000,2014,35813, WI,Buick,EncoreConvenience
18997,2016,6871, AR,Buick,EncoreFWD
19842,2017,5280, SC,Buick,EncoreFWD
16901,2015,20739, CA,Buick,EncoreFWD
15469,2015,43153, NM,Buick,EncoreConvenience
16998,2015,20357, TX,Buick,EncoreFWD
15713,2014,30674, OH,Buick,EncoreConvenience
16996,2015,17856, CO,Buick,EncoreFWD
17630,2015,15619, VA,Buick,EncoreConvenience
16998,2015,19821, NC,Buick,EncoreFWD
18684,2016,8120, FL,Buick,EncoreFWD
19849,2016,2645, FL,Buick,EncoreConvenience
17371,2016,24000, TX,Buick,EncoreFWD
15300,2014,25602, IN,Buick,EncoreFWD
16995,2015,10133, NJ,Buick,EncoreAWD
15500,2014,28727, AL,Buick,EncoreFWD
17251,2015,13894, TX,Buick,EncoreFWD
15990,2015,33212, IL,Buick,EncoreAWD
17499,2015,16493, RI,Buick,EncoreConvenience
15985,2015,32219, MO,Buick,EncoreFWD
17499,2015,19978, TX,Buick,EncoreFWD
17500,2015,18067, MI,Buick,EncoreConvenience
17000,2015,21475, IN,Buick,EncoreConvenience
17994,2015,12296, AZ,Buick,EncoreConvenience
16288,2015,33761, FL,Buick,EncoreConvenience
18000,2016,16760, TX,Buick,EncoreFWD
16634,2015,24636, FL,Buick,EncoreFWD
17500,2015,14209, MO,Buick,EncoreFWD
16640,2015,23750, FL,Buick,EncoreFWD
13999,2015,53359, FL,Buick,EncoreConvenience
15895,2014,23091, NJ,Buick,EncoreLeather
20000,2017,1406, OH,Buick,EncoreFWD
16484,2014,21483, KY,Buick,EncoreLeather
17900,2015,9529, IL,Buick,EncoreFWD
15765,2013,37771, NE,Buick,EncoreLeather
18580,2015,11125, TX,Buick,EncoreFWD
17492,2015,18501, TX,Buick,EncoreFWD
16871,2015,17862, AZ,Buick,EncoreFWD
15499,2015,45435, IA,Buick,EncoreConvenience
14450,2015,58501, NH,Buick,EncoreAWD
18000,2016,13317, MI,Buick,EncoreFWD
14655,2014,47994, VA,Buick,EncoreConvenience
18426,2015,9004, MD,Buick,EncoreAWD
18887,2016,14366, GA,Buick,EncoreFWD
18000,2016,22321, TX,Buick,EncoreConvenience
